 순위	 브랜드	 Link	 브랜드평판지수	 참여지수	 미디어지수	 소통지수	 커뮤니티지수	 추천지수	 추천참여
1	블랙핑크 제니		8,893,903	707,410	1,826,733	3,189,636	3,170,125	25,473	
2	에스파 카리나		7,025,559	418,124	1,245,638	2,566,886	2,794,910	15,054	
3	방탄소년단 제이홉		5,600,506	229,234	915,134	2,165,354	2,290,784	8,255	
4	아스트로 차은우		5,124,233	413,982	689,169	1,943,474	2,077,608	14,905	
5	블랙핑크 로제		4,923,535	806,382	539,405	1,699,081	1,878,666	29,033	
6	아이브 장원영		4,559,444	437,744	477,322	1,762,883	1,881,495	15,765	
7	워너원 강다니엘		4,128,947	373,652	478,377	1,668,996	1,607,922	13,467	
8	방탄소년단 진		3,926,009	288,639	318,334	1,562,029	1,757,008	10,396	
9	블랙핑크 지수		3,686,873	141,028	153,198	1,880,761	1,511,886	5,079	
10	블랙핑크 리사		3,591,174	133,616	122,271	1,447,633	1,887,654	4,812	
11	에스파 윈터		3,400,744	297,352	321,031	1,005,558	1,776,803	10,706	
12	소녀시대 태연		3,296,151	127,966	426,466	1,289,210	1,452,509	4,607	
13	아이브 안유진		2,891,671	239,364	282,214	1,233,915	1,136,178	8,625	
14	방탄소년단 정국		2,847,822	58,816	299,496	1,054,850	1,434,659	2,118	
15	방탄소년단 지민		2,762,160	98,383	354,238	1,106,961	1,202,578	3,939	
16	더보이즈 주연		2,531,949	56,658	85,083	999,271	1,390,936	2,040	
17	세븐틴 조슈아		2,531,428	28,449	84,821	1,022,679	1,395,478	1,025	
18	세븐틴 준		2,436,148	38,085	112,550	588,144	1,697,369	1,371	
19	방탄소년단 뷔		2,339,072	53,519	292,821	931,078	1,061,654	1,933	
20	마마무 화사		2,168,435	119,162	326,667	811,434	911,172	4,290	
21	세븐틴 호시		2,075,918	42,423	112,316	934,578	986,602	1,527	
22	세븐틴 정한		2,058,553	99,452	154,579	927,202	877,320	3,580	
23	방탄소년단 RM		2,053,280	32,591	188,084	876,475	956,130	1,177	
24	샤이니 키		2,027,630	50,968	227,622	797,124	951,916	1,835	
25	세븐틴 민규		1,967,323	57,879	128,382	917,752	863,311	2,084	
26	세븐틴 원우		1,964,102	47,480	103,597	898,669	914,356	1,709	
27	레드벨벳 조이		1,850,000	27,599	173,551	748,346	900,504	994	
28	레드벨벳 슬기		1,812,464	24,656	158,565	802,861	826,381	888	
29	더보이즈 선우		1,805,453	46,914	67,956	796,340	894,244	1,689	
30	레드벨벳 아이린		1,795,221	13,974	159,586	781,331	840,330	503	
31	소녀시대 윤아		1,743,185	29,604	292,176	576,741	844,665	1,066	
32	방탄소년단 슈가		1,705,410	36,537	232,255	680,570	756,049	1,316	
33	세븐틴 우지		1,656,594	31,327	91,823	625,996	907,447	1,128	
34	세븐틴 에스쿱스		1,613,153	41,049	101,090	626,402	844,611	1,478	
35	소녀시대 서현		1,605,779	31,174	256,339	592,436	725,830	1,122	
36	아이브 리즈		1,578,222	27,948	58,297	761,157	730,820	1,010	
37	슈퍼주니어 규현		1,534,012	92,323	235,679	546,912	659,097	3,324	
38	시그니처 지원		1,527,048	117,764	226,581	432,541	750,162	4,239	
39	더보이즈 현재		1,524,657	32,460	73,586	662,861	755,750	1,169	
40	트와이스 나연		1,508,257	22,628	134,310	577,544	773,774	815	
41	엑소 백현		1,485,925	98,362	264,140	514,364	609,059	3,541	
42	르세라핌 김채원		1,467,054	166,334	189,854	482,910	627,956	5,988	
43	오마이걸 유아		1,447,687	35,992	100,005	510,949	800,741	1,296	
44	세븐틴 도겸		1,359,053	37,365	99,118	511,081	711,489	1,345	
45	오마이걸 아린		1,334,277	52,843	102,698	483,678	695,057	1,902	
46	몬스타엑스 민혁		1,330,421	45,584	98,426	491,857	694,554	1,641	
47	에스파 지젤		1,285,623	105,076	125,293	447,968	607,286	3,783	
48	아이브 레이		1,266,197	45,322	76,332	471,282	673,260	1,636	
49	NCT 재현		1,240,866	71,962	111,129	437,905	619,870	2,591	
50	엔믹스 설윤		1,232,019	129,427	142,681	476,812	483,099	4,659	
51	슈퍼주니어 희철		1,215,963	73,074	120,885	467,909	554,096	2,632	
52	샤이니 태민		1,213,072	26,509	200,630	433,598	552,336	955	
53	트와이스 채영		1,208,660	13,145	94,324	436,277	664,914	473	
54	에이핑크 정은지		1,188,476	24,765	174,806	424,916	563,989	892	
55	에스파 닝닝		1,177,190	91,495	112,618	413,487	559,591	3,294	
56	오마이걸 미미		1,176,786	36,450	76,864	414,010	649,464	1,312	
57	아이브 이서		1,159,978	33,136	63,815	518,134	544,893	1,197	
58	샤이니 민호		1,140,090	46,565	229,178	401,678	462,669	1,676	
59	트와이스 미나		1,137,345	30,128	111,660	505,985	489,572	1,085	
60	NCT 마크		1,110,603	30,062	82,915	383,929	613,697	1,082	
61	NCT 도영		1,078,521	100,825	150,940	334,565	492,191	3,630	
62	아이브 가을		1,074,503	37,714	71,797	477,162	487,831	1,362	
63	트와이스 지효		1,073,807	25,157	128,073	501,335	419,241	906	
64	여자아이들 미연		1,070,911	16,677	67,294	365,435	621,505	600	
65	슈퍼주니어 시원		1,064,482	13,363	74,121	407,369	569,629	481	
66	라이즈 앤톤		1,016,934	52,734	61,203	72,585	830,412	1,898	
67	르세라핌 사쿠라		1,012,565	71,068	101,304	306,357	533,836	2,558	
68	오마이걸 효정		1,010,929	39,414	92,058	361,428	518,029	1,419	
69	르세라핌 카즈하		991,862	72,289	102,304	340,805	476,464	2,602	
70	소녀시대 유리		938,176	49,966	260,893	297,890	329,428	1,799	
71	르세라핌 홍은채		930,464	62,871	90,353	284,732	492,508	2,263	
72	오마이걸 유빈		921,791	48,527	54,143	354,194	464,927	1,747	
73	트와이스 사나		866,595	13,669	109,583	221,705	521,638	492	
74	프로미스나인 이채영		845,691	106,319	121,635	271,523	346,215	3,827	
75	워너원 황민현		801,011	94,612	139,822	272,727	293,850	3,406	
76	프로미스나인 백지헌		798,410	101,741	114,445	257,792	324,432	3,663	
77	라이즈 원빈		793,593	121,361	127,198	146,046	398,988	4,369	
78	프로미스나인 박지원		777,191	120,031	138,028	248,086	271,046	4,321	
79	프로미스나인 송하영		740,435	97,490	113,230	239,617	290,099	3,510	
80	트와이스 모모		727,838	6,954	152,341	278,416	290,127	250	
81	동방신기 유노윤호		708,540	72,594	182,136	252,837	200,974	2,613	
82	라이즈 소희		674,471	73,401	79,792	87,504	433,774	2,642	
83	위너 송민호		670,485	56,942	149,479	213,437	250,627	2,050	
84	엔믹스 해원		657,458	63,765	76,573	193,320	323,800	2,296	
85	워너원 옹성우		549,609	69,280	122,873	179,219	178,236	2,494	
86	비투비 이민혁		548,819	20,470	92,484	133,897	301,968	737	
87	피프티피프티 하나		548,583	43,535	145,113	37,144	322,791	1,567	
88	키스오브라이프 나띠		519,712	136,686	138,861	129,503	114,662	4,921	
89	워너원 박지훈		519,046	10,791	61,934	198,770	247,551	388	
90	피프티피프티 예원		503,493	28,807	130,206	118,595	225,884	1,037	
91	라이즈 성찬		483,316	66,403	72,396	81,758	262,759	2,391	
92	비투비 임현식		482,904	26,640	85,110	107,828	263,325	959	
93	피프티피프티 키나		480,883	27,041	117,680	123,497	212,665	973	
94	피프티피프티 아테나		461,189	43,426	42,381	135,263	240,119	1,563	
95	하이라이트 윤두준		430,376	74,643	104,527	124,629	126,577	2,687	
96	블락비 피오		410,498	25,789	81,207	133,923	169,578	928	
97	블락비 태일		362,258	27,054	58,562	124,206	152,436	974	
98	2PM 우영		326,049	33,572	109,078	86,953	96,446	1,209	
99	NCT 시온		258,086	61,040	65,837	63,145	68,064	2,197	
100	위너 김진우		210,016	15,494	48,048	76,470	70,004	558	
